pincode,coordinates
600212,"{'latitude': 1.33764, 'longitude': 103.74192}"
600213,"{'latitude': 1.33764, 'longitude': 103.74192}"
600214,"{'latitude': 1.33764, 'longitude': 103.74192}"
600215,"{'latitude': 1.33764, 'longitude': 103.74192}"
600216,"{'latitude': 1.33764, 'longitude': 103.74192}"
600217,"{'latitude': 1.33764, 'longitude': 103.74192}"
600218,"{'latitude': 1.33764, 'longitude': 103.74192}"
600219,"{'latitude': 1.33764, 'longitude': 103.74192}"
600220,"{'latitude': 1.33764, 'longitude': 103.74192}"
600221,"{'latitude': 1.33764, 'longitude': 103.74192}"
600222,"{'latitude': 1.33764, 'longitude': 103.74192}"
600223,"{'latitude': 1.33764, 'longitude': 103.74192}"
600224,"{'latitude': 1.33764, 'longitude': 103.74192}"
600225,"{'latitude': 1.33764, 'longitude': 103.74192}"
600226,"{'latitude': 1.33764, 'longitude': 103.74192}"
600227,"{'latitude': 1.33764, 'longitude': 103.74192}"
600228,"{'latitude': 1.33764, 'longitude': 103.74192}"
600229,"{'latitude': 1.33764, 'longitude': 103.74192}"
600230,"{'latitude': 1.33764, 'longitude': 103.74192}"
600231,"{'latitude': 1.33764, 'longitude': 103.74192}"
600232,"{'latitude': 1.33764, 'longitude': 103.74192}"
600233,"{'latitude': 1.33764, 'longitude': 103.74192}"
600234,"{'latitude': 1.33764, 'longitude': 103.74192}"
600235,"{'latitude': 1.33764, 'longitude': 103.74192}"
600236,"{'latitude': 1.33764, 'longitude': 103.74192}"
600237,"{'latitude': 1.33764, 'longitude': 103.74192}"
600238,"{'latitude': 1.33764, 'longitude': 103.74192}"
600239,"{'latitude': 1.33764, 'longitude': 103.74192}"
600240,"{'latitude': 1.33764, 'longitude': 103.74192}"
600241,"{'latitude': 1.34289, 'longitude': 103.74033}"
600242,"{'latitude': 1.34289, 'longitude': 103.74033}"
600243,"{'latitude': 1.34289, 'longitude': 103.74033}"
600244,"{'latitude': 1.34289, 'longitude': 103.74033}"
600245,"{'latitude': 1.34289, 'longitude': 103.74033}"
600246,"{'latitude': 1.34289, 'longitude': 103.74033}"
600247,"{'latitude': 1.34289, 'longitude': 103.74033}"
600248,"{'latitude': 1.34289, 'longitude': 103.74033}"
600249,"{'latitude': 1.34289, 'longitude': 103.74033}"
600250,"{'latitude': 1.34289, 'longitude': 103.74033}"
600251,"{'latitude': 1.34289, 'longitude': 103.74033}"
600252,"{'latitude': 1.34289, 'longitude': 103.74033}"
600253,"{'latitude': 1.34289, 'longitude': 103.74033}"
600254,"{'latitude': 1.34289, 'longitude': 103.74033}"
600255,"{'latitude': 1.34289, 'longitude': 103.74033}"
600256,"{'latitude': 1.34289, 'longitude': 103.74033}"
600257,"{'latitude': 1.34289, 'longitude': 103.74033}"
600258,"{'latitude': 1.34289, 'longitude': 103.74033}"
600259,"{'latitude': 1.34289, 'longitude': 103.74033}"
600260,"{'latitude': 1.34289, 'longitude': 103.74033}"
600261,"{'latitude': 1.34289, 'longitude': 103.74033}"
600262,"{'latitude': 1.34289, 'longitude': 103.74033}"
600263,"{'latitude': 1.34289, 'longitude': 103.74033}"
600264,"{'latitude': 1.34289, 'longitude': 103.74033}"
600265,"{'latitude': 1.33739, 'longitude': 103.74633}"
600266,"{'latitude': 1.33739, 'longitude': 103.74633}"
600267,"{'latitude': 1.33739, 'longitude': 103.74633}"
600268,"{'latitude': 1.33739, 'longitude': 103.74633}"
600269,"{'latitude': 1.33739, 'longitude': 103.74633}"
600270,"{'latitude': 1.33739, 'longitude': 103.74633}"
600271,"{'latitude': 1.33739, 'longitude': 103.74633}"
600272,"{'latitude': 1.33739, 'longitude': 103.74633}"
600273,"{'latitude': 1.33739, 'longitude': 103.74633}"
600274,"{'latitude': 1.33739, 'longitude': 103.74633}"
600275,"{'latitude': 1.33739, 'longitude': 103.74633}"
600276,"{'latitude': 1.33739, 'longitude': 103.74633}"
600277,"{'latitude': 1.33739, 'longitude': 103.74633}"
600278,"{'latitude': 1.33739, 'longitude': 103.74633}"
600279,"{'latitude': 1.33739, 'longitude': 103.74633}"
600280,"{'latitude': 1.33739, 'longitude': 103.74633}"
600281,"{'latitude': 1.33739, 'longitude': 103.74633}"
600282,"{'latitude': 1.33739, 'longitude': 103.74633}"
600283,"{'latitude': 1.33739, 'longitude': 103.74633}"
600284,"{'latitude': 1.33739, 'longitude': 103.74633}"
600285,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600286,"{'latitude': 25.98067, 'longitude': 79.46254}"
600287,"{'latitude': 25.98067, 'longitude': 79.46254}"
600288,"{'latitude': 25.98067, 'longitude': 79.46254}"
600289,"{'latitude': 45.53518, 'longitude': 25.41214}"
600290,"{'latitude': 45.53518, 'longitude': 25.41214}"
600291,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600292,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600293,"{'latitude': 25.98067, 'longitude': 79.46254}"
600294,"{'latitude': 25.98067, 'longitude': 79.46254}"
600295,"{'latitude': 45.53518, 'longitude': 25.41214}"
600296,"{'latitude': 45.53518, 'longitude': 25.41214}"
600297,"{'latitude': 25.98067, 'longitude': 79.46254}"
600298,"{'latitude': 25.98067, 'longitude': 79.46254}"
600299,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600300,"{'latitude': 45.53518, 'longitude': 25.41214}"
600301,"{'latitude': 1.34684, 'longitude': 103.73389}"
600302,"{'latitude': 12.908243179321287, 'longitude': 80.19425964355469}"
600303,"{'latitude': 1.34684, 'longitude': 103.73389}"
600304,"{'latitude': 1.34684, 'longitude': 103.73389}"
600305,"{'latitude': 1.34684, 'longitude': 103.73389}"
600306,"{'latitude': 1.34684, 'longitude': 103.73389}"
600307,"{'latitude': 1.34684, 'longitude': 103.73389}"
600308,"{'latitude': 1.34684, 'longitude': 103.73389}"
600309,"{'latitude': 1.34684, 'longitude': 103.73389}"
600310,"{'latitude': 1.34684, 'longitude': 103.73389}"
600311,"{'latitude': 1.34684, 'longitude': 103.73389}"
600312,"{'latitude': 1.34684, 'longitude': 103.73389}"
600313,"{'latitude': 1.34684, 'longitude': 103.73389}"
600314,"{'latitude': 1.34684, 'longitude': 103.73389}"
600315,"{'latitude': 1.34684, 'longitude': 103.73389}"
600316,"{'latitude': 1.34684, 'longitude': 103.73389}"
600317,"{'latitude': 1.34707, 'longitude': 103.73029}"
600318,"{'latitude': 1.34707, 'longitude': 103.73029}"
600319,"{'latitude': 1.34707, 'longitude': 103.73029}"
600320,"{'latitude': 1.34707, 'longitude': 103.73029}"
600321,"{'latitude': 1.34707, 'longitude': 103.73029}"
600322,"{'latitude': 1.34707, 'longitude': 103.73029}"
600323,"{'latitude': 1.34707, 'longitude': 103.73029}"
600324,"{'latitude': 1.34707, 'longitude': 103.73029}"
